mode,exp,mp2,physnet_MP2_NN1,physnet_MP2_NN2,physnet_CCSD(T)_NN1,physnet_CCSD(T)_NN2,physnet_CCSD(T)_F12_NN1,physnet_CCSD(T)_F12_NN2
1,543.88,551.35,551.59,551.72,533.67,533.93,541.10,542.37
2,595.62,565.97,566.02,566.12,595.98,596.32,608.55,608.92
3,790.12,765.83,766.25,765.86,785.91,786.93,799.70,799.04
4,1263.21,1233.45,1235.12,1230.53,1260.08,1260.91,1267.74,1267.88
5,1699.76,1637.31,1637.07,1636.84,1691.60,1691.48,1709.88,1710.24
6,3590.77,3577.17,3580.86,3581.00,3580.01,3581.84,3590.28,3586.80
